Type,Title,Price,Location,Beds,Baths,Area,Date
House,"120 SQYARDS | GROUND +2 +2BED LOUNGE ON ROOF | BEAUTIFUL HOUSE | 2BED DD PLANNING | CAR PARKING | NORTH KARACHI SECTOR 8 ( RENTAL INCOME 110,000)",2.88 Crore,"North Karachi - Sector 8, North Karachi",8,7,120 Sq. Yd.,Added: 3 minutes ago
House,"Main Road Side Corner 120 Yards Triple Storey House For SALE In North Karachi Sector 5-C/2 , Behind Main Road On 40 Feet Road",3.5 Crore,"North Karachi - Sector 5-C/2, North Karachi - Sector 5-C",11,5,120 Sq. Yd.,Added: 3 minutes ago
House,Gorgeous 256 Square Yards House For sale Available In North Nazimabad - Block L,5.5 Crore,"North Nazimabad - Block L, North Nazimabad",9,7,256 Sq. Yd.,Added: 3 minutes ago
House,"125 Sq Yd Villa FOR SALE In Precinct-27 Near LONDON BRIDGE &Amp; JINNAH AVENUE. One Unit 3 Bedrooms, Drawning, Dining, Closed Italian Kitchen &Amp; TV Lounge. All Amenities Nearby Including Parks, Mosques And Gallery. 10min Drive From Main Gate Of BTK.",1.05 Crore,"Bahria Town - Precinct 27, Bahria Town Karachi",3,3,125 Sq. Yd.,Added: 3 minutes ago
House,Quaid Villas 200sq Yard Close To Entrance Of BTK 3Bed One Unit Villas FOR SALE,2.1 Crore,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3,3,200 Sq. Yd.,Added: 3 minutes ago
House,5 Bedroom Luxury Villas At Bahria Paradise (Bahria Homes). Exquisite Quality Construction With Lowest Budget,4.2 Crore,"Bahria Paradise, Bahria Town Karachi",5,5,500 Sq. Yd.,Added: 4 minutes ago
House,3Bed DDL 125 sq yd Villa FOR SALE at Precicnt-10B (All Amenities Nearby) Heighted Location Investor Rates,1.1 Crore,"Bahria Town - Precinct 10-B, Bahria Town Karachi",3,3,125 Sq. Yd.,Added: 5 minutes ago
House,120 Yards Ground+1 House For SALE In NORTH Karachi In 1 Crore 85 Lac,1.85 Crore,"North Karachi - Sector 5-C/1, North Karachi - Sector 5-C",8,4,120 Sq. Yd.,Added: 5 minutes ago
House,Prime Location 400 Square Yards House In Beautiful Location Of Gulistan-e-Jauhar - Block 12 In Karachi,11 Crore,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",4,4,400 Sq. Yd.,Added: 1 day ago
House,Brand New 2 units 500 yards Bungalow for Sale in DHA Phase 8 Karachi,20 Crore,"DHA Phase 8, DHA Defence",7,7,500 Sq. Yd.,Added: 1 day ago
House,Prime Location Bungalow for Sale Clifton Block 8,22 Crore,"Clifton - Block 8, Clifton",6,6,672 Sq. Yd.,Added: 1 day ago
House,Chance Deal 670-Yards Dream Home: Your Luxury Oasis Awaits,22 Crore,"Clifton - Block 8, Clifton",6,6,670 Sq. Yd.,Added: 1 day ago
House,1000 Yards Brand New Architecture Bungalow For Sale,38 Crore,"DHA Phase 8, DHA Defence",,7,"1,000 Sq. Yd.",Added: 1 day ago
House,Direct Owner Meeting Well Maintained House,7 Crore,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",6,6,440 Sq. Yd.,Added: 3 hours ago
